,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
32,Bangladesh,778687,1290,12076,31,719619,1370,46992,1149,4688,73,5690693,34260,166101183,Asia,2021-05-13
33,Jordan,722754,418,9203,23,710410,1556,3141,729,70236,894,6903678,670892,10290291,Asia,2021-05-13
34,Serbia,704398,901,6629,18,671361,2051,26408,98,80901,761,3977053,456767,8706962,Europe,2021-05-13
35,Switzerland,677210,0,10725,0,612471,0,54014,190,77759,1231,7216520,828616,8709128,Europe,2021-05-13
36,Japan,658629,7058,11165,101,573913,5355,73551,1214,5221,89,12789711,101391,126142014,Asia,2021-05-13
37,Austria,634893,933,10444,16,611254,1588,13195,316,70149,1154,35798712,3955363,9050676,Europe,2021-05-13
38,UAE,542158,1512,1623,4,522356,1474,18179,0,54253,162,46613437,4664538,9993152,Asia,2021-05-13
39,Lebanon,534968,580,7569,20,492270,1965,35129,333,78683,1113,4163257,612331,6799033,Asia,2021-05-13
40,Morocco,514432,0,9088,0,501692,0,3652,108,13797,244,6348840,170271,37286768,Africa,2021-05-13
41,Malaysia,458077,4855,1788,27,414707,3347,41582,481,13999,55,10341089,316024,32722476,Asia,2021-05-13
42,Nepal,431191,8842,4466,214,321518,5055,105207,0,14574,151,2712562,91682,29586485,Asia,2021-05-13
43,Saudi Arabia,430505,1116,7122,11,414139,1129,9244,1344,12203,202,17812376,504893,35279497,Asia,2021-05-13
44,Bulgaria,412814,0,17150,0,357149,0,38515,526,59800,2484,2631255,381164,6903209,Europe,2021-05-13
45,Ecuador,404632,0,19349,0,342878,0,42405,607,22639,1083,1350957,75586,17873167,South America,2021-05-13
46,Slovakia,386868,328,12135,39,369648,545,5085,225,70830,2222,2745856,502727,5461924,Europe,2021-05-13
47,Belarus,372242,837,2671,10,362806,694,6765,0,39405,283,6036143,638972,9446640,Europe,2021-05-13
48,Greece,371712,2158,11266,55,333892,0,26554,683,35814,1085,8707677,838966,10379054,Europe,2021-05-13
49,Panama,368930,0,6285,0,358044,0,4601,105,84364,1437,2487010,568707,4373096,North America,2021-05-13
50,Kazakhstan,350591,2283,3984,20,307464,2791,39143,221,18482,210,10691113,563585,18969833,Asia,2021-05-13
51,Croatia,348158,1064,7623,34,332669,1281,7866,202,85262,1867,1906407,466870,4083381,Europe,2021-05-13
52,Azerbaijan,328159,0,4726,0,309771,0,13662,0,32116,463,3353167,328168,10217838,Asia,2021-05-13
53,Georgia,326441,776,4379,16,306264,1329,15798,0,81968,1100,4473163,1123189,3982555,Asia,2021-05-13
54,Bolivia,324868,2290,13345,37,266512,1495,45011,158,27508,1130,1275910,108038,11809861,South America,2021-05-13
55,Tunisia,324103,0,11637,0,283270,0,29196,446,27178,976,1376013,115389,11925011,Africa,2021-05-13
56,Paraguay,304889,0,7358,0,252425,0,45106,599,42299,1021,1170023,162326,7207867,South America,2021-05-13
57,Palestine,303270,0,3401,0,288891,0,10978,78,58288,654,1784690,343013,5202977,Asia,2021-05-13
58,Kuwait,288184,0,1669,0,273289,0,13226,197,66635,386,2429889,561847,4324826,Asia,2021-05-13
59,Costa Rica,276887,0,3482,0,217684,0,55721,487,53930,678,1073443,209079,5134155,North America,2021-05-13
60,Dominican Republic,274319,822,3560,6,232625,244,38134,242,25071,325,1461677,133590,10941511,North America,2021-05-13
61,Ethiopia,264367,0,3938,0,214808,0,45621,659,2252,34,2634674,22442,117401048,Africa,2021-05-13
62,Denmark,263514,1355,2499,0,248683,828,12332,36,45357,430,45170604,7774914,5809788,Europe,2021-05-13
63,Lithuania,262335,1136,4071,7,236442,1177,21822,158,97545,1514,3048832,1133654,2689386,Europe,2021-05-13
64,Ireland,254013,0,4937,0,236747,346,12329,34,50953,990,4729538,948711,4985227,Europe,2021-05-13
65,Moldova,253386,213,5995,14,244298,225,3093,171,62940,1489,1033892,256812,4025866,Europe,2021-05-13
66,Slovenia,248046,597,4308,4,235106,917,8632,124,119300,2072,1220132,586832,2079185,Europe,2021-05-13
67,Egypt,240927,0,14091,0,178805,0,48031,90,2317,136,2715258,26111,103990069,Africa,2021-05-13
68,Guatemala,237682,0,7815,0,217219,0,12648,5,13060,429,1322009,72638,18199887,North America,2021-05-13
69,Uruguay,228102,0,3252,0,198922,0,25928,512,65469,933,1949677,559591,3484110,South America,2021-05-13
70,Honduras,222992,874,5853,64,82187,214,134952,535,22211,583,664126,66149,10039879,North America,2021-05-13
71,Armenia,220217,267,4291,19,206752,674,9174,0,74197,1446,1026974,346013,2968021,Asia,2021-05-13
72,Qatar,212423,299,522,3,205160,752,6741,225,75654,186,1961687,698655,2807805,Asia,2021-05-13
73,Venezuela,210948,0,2337,0,194166,0,14445,316,7437,82,3359014,118415,28366348,South America,2021-05-13
74,Oman,202713,0,2148,0,186391,0,14174,255,38851,412,1550000,297062,5217765,Asia,2021-05-13
75,Bosnia and Herzegovina,202003,207,8958,15,168145,441,24900,0,61904,2745,936259,286916,3263177,Europe,2021-05-13
76,Bahrain,194289,0,705,0,178458,0,15126,142,110895,402,4292201,2449868,1752013,Asia,2021-05-13
77,Libya,180945,0,3082,0,167322,0,10541,0,26029,443,980344,141024,6951592,Africa,2021-05-13
78,Nigeria,165559,0,2066,0,156374,0,7119,11,786,10,1977479,9394,210512785,Africa,2021-05-13
79,Kenya,164720,334,2968,18,113248,124,48504,117,3007,54,1733500,31641,54786136,Africa,2021-05-13
80,North Macedonia,154494,123,5168,17,143069,3803,6257,124,74158,2481,748069,359079,2083300,Europe,2021-05-13
81,Myanmar,142997,0,3211,0,132064,0,7722,0,2613,59,2595359,47426,54723983,Asia,2021-05-13
82,Sri Lanka,135796,3269,868,0,108802,1145,26126,0,6319,40,3050870,141963,21490644,Asia,2021-05-13
83,Albania,131890,45,2426,3,121122,1050,8342,18,45873,844,666176,231707,2875084,Europe,2021-05-13
84,S. Korea,129633,715,1891,7,119906,533,7836,160,2527,37,9241153,180114,51307257,Asia,2021-05-13
85,Latvia,126378,689,2240,17,114981,0,9157,81,67649,1199,2455203,1314245,1868147,Europe,2021-05-13
86,Estonia,126364,300,1212,2,117582,474,7570,36,95203,913,1346257,1014279,1327305,Europe,2021-05-13
87,Algeria,124682,0,3350,0,86857,0,34475,28,2800,75,230861,5184,44530480,Africa,2021-05-13
88,Cuba,120561,1186,778,10,113493,1032,6290,138,10650,69,3923413,346571,11320648,North America,2021-05-13
89,Norway,118145,150,774,0,88952,0,28419,23,21647,142,5423294,993688,5457742,Europe,2021-05-13
90,Kyrgyzstan,99645,329,1681,6,92718,309,5246,85,15060,254,1043213,157666,6616606,Asia,2021-05-13
91,Montenegro,98619,73,1551,3,95544,176,1524,64,157003,2469,390682,621971,628135,Europe,2021-05-13
92,Uzbekistan,95826,359,667,1,91301,325,3858,23,2828,20,1377915,40663,33885934,Asia,2021-05-13
93,Thailand,93794,4887,518,32,60615,1572,32661,1207,1341,7,8124896,116151,69951033,Asia,2021-05-13
94,Ghana,93125,0,783,0,90910,0,1432,7,2944,25,1113553,35207,31628917,Africa,2021-05-13
95,Zambia,92211,0,1259,0,90574,0,378,42,4899,67,1453013,77189,18824120,Africa,2021-05-13
96,Finland,89532,262,930,0,46000,0,42602,24,16137,168,4716650,850131,5548145,Europe,2021-05-13
97,Cameroon,74946,0,1152,0,70497,0,3297,385,2764,42,1518411,56006,27111439,Africa,2021-05-13
98,El Salvador,70915,0,2173,5,66418,0,2324,28,10886,334,946627,145313,6514410,North America,2021-05-13
99,Cyprus,70358,0,341,0,39061,0,30956,56,57911,281,5566171,4581482,1214928,Asia,2021-05-13
100,Mozambique,70287,0,826,0,68047,0,1414,24,2196,26,530868,16588,32004065,Africa,2021-05-13
101,Luxembourg,68748,0,806,0,65513,0,2429,30,108312,1270,2748184,4329744,634722,Europe,2021-05-13
102,Afghanistan,63349,407,2730,9,54619,85,6000,1124,1597,69,428390,10796,39679387,Asia,2021-05-13
103,Singapore,61453,34,31,0,61029,23,393,3,10434,5,10441802,1772814,5889959,Asia,2021-05-13
104,Namibia,50515,0,702,0,47698,0,2115,54,19577,272,404532,156772,2580388,Africa,2021-05-13
105,Botswana,49041,0,751,0,46290,0,2000,1,20499,314,1086267,454061,2392337,Africa,2021-05-13
106,Mongolia,47033,585,193,9,37281,1548,9559,110,14151,58,2808208,844924,3323621,Asia,2021-05-13
107,Jamaica,46922,0,820,0,22636,0,23466,14,15786,276,348636,117295,2972308,North America,2021-05-13
108,Ivory Coast,46516,0,292,0,45942,0,282,0,1727,11,608960,22607,26937384,Africa,2021-05-13
109,Uganda,42487,0,346,0,41971,0,170,24,904,7,1047226,22294,46974338,Africa,2021-05-13
110,Senegal,40762,0,1121,0,39460,0,181,12,2381,65,493457,28821,17121385,Africa,2021-05-13
111,Maldives,40092,0,87,0,27123,0,12882,90,73065,159,778634,1419016,548714,Asia,2021-05-13
112,Madagascar,39759,249,745,7,37150,269,1864,302,1405,26,194234,6863,28300139,Africa,2021-05-13
113,Zimbabwe,38466,0,1579,0,36277,0,610,12,2556,105,438833,29161,15048804,Africa,2021-05-13
114,Sudan,34272,0,2446,0,27949,0,3877,0,766,55,232965,5209,44726050,Africa,2021-05-13
115,Malawi,34183,0,1153,0,32170,0,860,11,1748,59,236897,12116,19552902,Africa,2021-05-13
116,Malta,30473,4,417,0,29867,7,189,0,68857,942,891075,2013469,442557,Europe,2021-05-13
117,DRC,30429,0,775,0,26541,0,3113,0,331,8,154866,1685,91887149,Africa,2021-05-13
118,Australia,29950,3,910,0,28861,0,179,1,1163,35,17384804,675025,25754325,Australia/Oceania,2021-05-13
119,Angola,29405,0,645,0,25187,0,3573,21,872,19,527590,15637,33739304,Africa,2021-05-13
120,Cabo Verde,27029,0,238,0,23925,0,2866,23,48164,424,158645,282698,561182,Africa,2021-05-13
121,Rwanda,25846,0,340,0,24411,0,1095,1,1954,26,1354868,102432,13227036,Africa,2021-05-13
122,Gabon,23734,0,143,0,20270,0,3321,18,10452,63,763003,336020,2270706,Africa,2021-05-13
123,Syria,23543,0,1676,0,19610,0,2257,0,1318,94,103566,5797,17864615,Asia,2021-05-13
124,Guinea,22719,0,151,0,20341,0,2227,24,1691,11,444435,33074,13437438,Africa,2021-05-13
125,Réunion,22644,0,169,0,21603,0,872,36,25137,188,102720,114030,900815,Africa,2021-05-13
126,French Guiana,21106,0,108,0,9995,0,11003,24,69131,354,232001,759897,305306,South America,2021-05-13
127,Cambodia,20695,0,136,0,8539,0,12020,0,1223,8,1018022,60175,16917798,Asia,2021-05-13
128,Mayotte,20176,0,171,0,2964,0,17041,6,72458,614,176919,635369,278451,Africa,2021-05-13
129,French Polynesia,18797,0,141,0,18617,0,39,1,66584,499,26355,93356,282307,Australia/Oceania,2021-05-13
130,Mauritania,18745,0,457,0,17973,0,315,14,3943,96,246513,51852,4754211,Africa,2021-05-13
131,Eswatini,18492,0,671,0,17784,0,37,3,15798,573,195230,166792,1170499,Africa,2021-05-13
132,Guadeloupe,16017,0,221,0,2242,0,13554,33,40024,552,195404,488287,400183,North America,2021-05-13
133,Guyana,14659,0,331,0,12551,0,1777,14,18560,419,132331,167545,789823,South America,2021-05-13
134,Somalia,14486,0,753,0,6325,0,7408,0,890,46,120132,7383,16272317,Africa,2021-05-13
135,Trinidad and Tobago,14417,0,235,0,9594,0,4588,15,10273,167,148770,106007,1403396,North America,2021-05-13
136,Mali,14149,0,507,0,9113,0,4529,0,682,24,280272,13508,20749349,Africa,2021-05-13
137,Andorra,13470,0,127,0,13104,0,239,12,174094,1641,193595,2502133,77372,Europe,2021-05-13
138,Burkina Faso,13387,0,164,0,13184,0,39,0,626,8,182822,8546,21393410,Africa,2021-05-13
139,Haiti,13268,0,269,0,12397,0,602,0,1152,23,60085,5215,11522045,North America,2021-05-13
140,Papua New Guinea,13242,245,133,3,10995,80,2114,0,1456,15,104674,11512,9092401,Australia/Oceania,2021-05-13
141,Togo,13210,0,125,0,11807,0,1278,0,1564,15,320111,37906,8444886,Africa,2021-05-13
142,Belize,12707,0,323,0,12320,0,64,1,31467,800,123300,305333,403822,North America,2021-05-13
143,Curaçao,12236,0,117,0,12006,0,113,22,74306,711,101728,617765,164671,North America,2021-05-13
144,Hong Kong,11818,3,210,0,11511,6,97,3,1565,28,14841321,1965908,7549348,Asia,2021-05-13
145,Martinique,11736,0,90,0,98,0,11548,24,31295,240,170302,454122,375014,North America,2021-05-13
146,Suriname,11427,0,220,0,9985,0,1222,26,19330,372,54231,91737,591156,South America,2021-05-13
147,Djibouti,11389,0,151,0,11221,0,17,0,11385,151,152966,152914,1000343,Africa,2021-05-13
148,Congo,11343,0,148,0,8208,0,2987,0,2013,26,141948,25193,5634351,Africa,2021-05-13
149,Bahamas,11024,58,216,1,9967,35,841,5,27805,545,91550,230908,396478,North America,2021-05-13
150,Aruba,10814,0,104,0,10613,0,97,14,100917,971,155523,1451356,107157,North America,2021-05-13
151,Lesotho,10778,4,320,1,6427,0,4031,0,4997,148,86427,40071,2156871,Africa,2021-05-13
152,South Sudan,10641,0,115,0,10462,0,64,0,941,10,156542,13845,11306582,Africa,2021-05-13
153,Seychelles,8172,0,28,0,5658,0,2486,0,82652,283,21504,217493,98872,Africa,2021-05-13
154,Benin,7995,0,101,0,7652,0,242,35,645,8,595112,48013,12394855,Africa,2021-05-13
155,Equatorial Guinea,7694,0,112,0,7279,0,303,7,5334,78,123169,85396,1442320,Africa,2021-05-13
156,Nicaragua,7086,0,184,0,4225,0,2677,0,1059,27,0,0,6692328,North America,2021-05-13
157,CAR,6866,0,95,0,5112,0,1659,2,1401,19,40907,8345,4901838,Africa,2021-05-13
158,Iceland,6526,0,29,0,6422,0,75,3,19018,85,622370,1813691,343151,Europe,2021-05-13
159,Yemen,6498,0,1277,0,3003,0,2218,23,214,42,34671,1141,30388802,Asia,2021-05-13
160,Gambia,5934,0,175,0,5648,0,111,3,2398,71,76379,30864,2474710,Africa,2021-05-13
161,Niger,5325,0,192,0,4929,0,204,2,213,8,101658,4074,24953468,Africa,2021-05-13
162,San Marino,5083,0,90,0,4968,0,25,4,149531,2648,63241,1860412,33993,Europe,2021-05-13
163,Chad,4891,0,172,0,4668,0,51,0,291,10,116026,6895,16828720,Africa,2021-05-13
164,Saint Lucia,4725,0,75,0,4486,0,164,1,25631,407,42382,229900,184350,North America,2021-05-13
165,Gibraltar,4286,0,94,0,4189,0,3,0,127249,2791,240870,7151297,33682,Europe,2021-05-13
166,Burundi,4233,0,6,0,773,0,3454,0,347,5,279132,22892,12193348,Africa,2021-05-13
167,Sierra Leone,4089,0,79,0,3093,0,917,0,504,10,153257,18883,8116060,Africa,2021-05-13
168,Channel Islands,4057,0,86,0,3956,0,15,0,23151,491,454413,2593060,175242,Europe,2021-05-13
169,Barbados,3957,0,46,0,3879,0,32,0,13755,160,160664,558484,287679,North America,2021-05-13
170,Comoros,3860,0,146,0,3688,0,26,0,4359,165,0,0,885477,Africa,2021-05-13
171,Eritrea,3822,0,12,0,3639,0,171,0,1065,3,23693,6602,3588600,Africa,2021-05-13
172,Guinea-Bissau,3741,0,67,0,3400,0,274,9,1863,33,64758,32253,2007831,Africa,2021-05-13
173,Vietnam,3710,87,35,0,2657,21,1018,0,38,4,3091540,31517,98092415,Asia,2021-05-13
174,Timor-Leste,3626,0,5,0,1894,0,1727,0,2706,4,84361,62957,1339984,Asia,2021-05-13
175,Liechtenstein,2980,2,58,0,2887,0,35,3,77966,1517,39109,1023207,38222,Europe,2021-05-13
176,New Zealand,2644,1,26,0,2600,9,18,0,529,5,2069812,413789,5002100,Australia/Oceania,2021-05-13
177,Monaco,2487,0,32,0,2427,0,28,1,62991,810,51953,1315865,39482,Europe,2021-05-13
178,Bermuda,2461,6,31,0,2222,40,208,11,39643,499,251454,4050548,62079,North America,2021-05-13
179,Turks and Caicos,2404,0,17,0,2365,0,22,2,61378,434,65926,1683203,39167,North America,2021-05-13
180,Sao Tome and Principe,2320,0,35,0,2270,0,15,0,10420,157,12999,58383,222650,Africa,2021-05-13
181,Sint Maarten,2272,0,27,0,2213,0,32,2,52477,624,26880,620857,43295,North America,2021-05-13
182,Liberia,2114,0,85,0,1962,0,67,2,410,16,97875,18970,5159479,Africa,2021-05-13
183,St. Vincent Grenadines,1928,2,12,0,1764,16,152,2,17331,108,46829,420958,111244,North America,2021-05-13
184,Saint Martin,1773,0,12,0,1399,0,362,7,45193,306,27588,703201,39232,North America,2021-05-13
185,Isle of Man,1590,0,29,0,1555,3,6,1,18614,339,44761,524005,85421,Europe,2021-05-13
186,Caribbean Netherlands,1590,7,17,0,1558,10,15,0,60152,643,10040,379828,26433,North America,2021-05-13
187,Laos,1482,65,1,0,431,103,1050,0,201,1,212173,28803,7366263,Asia,2021-05-13
188,Mauritius,1274,4,17,0,1130,2,127,0,1000,13,358675,281625,1273589,Africa,2021-05-13
189,Bhutan,1263,6,1,0,1121,0,141,0,1621,1,736272,945252,778916,Asia,2021-05-13
190,Taiwan,1256,25,12,0,1102,5,142,0,53,5,571259,23948,23853960,Asia,2021-05-13
191,Antigua and Barbuda,1240,0,32,0,1179,0,29,4,12573,324,16700,169325,98627,North America,2021-05-13
192,St. Barth,974,0,1,0,462,0,511,0,98354,101,26385,2664344,9903,North America,2021-05-13
193,Faeroe Islands,669,0,1,0,663,0,5,0,13647,20,258096,5264794,49023,Europe,2021-05-13
194,Cayman Islands,560,0,2,0,546,0,12,0,8436,30,93117,1402660,66386,North America,2021-05-13
195,Tanzania,509,0,21,0,183,0,305,7,8,3,0,0,61188559,Africa,2021-05-13
196,Wallis and Futuna,445,0,7,0,44,0,394,1,40206,632,17264,1559812,11068,Australia/Oceania,2021-05-13
197,Brunei ,231,0,3,0,220,0,8,0,524,7,122884,278595,441084,Asia,2021-05-13
198,British Virgin Islands,219,0,1,0,193,0,25,0,7203,33,39777,1308282,30404,North America,2021-05-13
199,Dominica,178,3,0,0,176,1,2,0,2467,0,15844,219629,72140,North America,2021-05-13
200,Fiji,165,4,4,1,109,3,52,0,183,4,70792,78480,902039,Australia/Oceania,2021-05-13
201,New Caledonia,124,0,0,0,58,0,66,0,431,0,31166,108268,287860,Australia/Oceania,2021-05-13
202,Anguilla,109,0,0,0,89,0,20,0,7210,0,21630,1430745,15118,North America,2021-05-13
203,Saint Kitts and Nevis,45,0,0,0,44,0,1,0,841,0,13691,255797,53523,North America,2021-05-13
204,Vatican City,27,0,0,0,15,0,12,0,33624,0,0,0,803,Europe,2021-05-13
205,Western Sahara,10,0,1,0,8,0,1,0,16,2,0,0,609911,Africa,2021-05-13
206,Samoa,3,0,0,0,2,0,1,0,15,0,0,0,199550,Australia/Oceania,2021-05-13
207,China,90808,9,4636,0,85881,20,291,1,63,3,160000000,111163,1439323776,Asia,2021-05-13
208,Tajikistan,13308,0,90,0,13218,0,0,0,1369,9,0,0,9721165,Asia,2021-05-13
209,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,Ship,2021-05-13
210,Grenada,161,0,1,0,160,0,0,0,1425,9,28684,253904,112972,North America,2021-05-13
211,Montserrat,20,0,1,0,19,0,0,0,4004,200,1313,262863,4995,North America,2021-05-13
212,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,Ship,2021-05-13
213,Vanuatu,4,0,1,0,3,0,0,0,13,3,23000,73414,313292,Australia/Oceania,2021-05-13
214,Falkland Islands,63,0,0,0,63,0,0,0,17662,0,7258,2034763,3567,South America,2021-05-13
215,Macao,49,0,0,0,49,0,0,0,75,0,4483,6824,656942,Asia,2021-05-13
216,Greenland,31,0,0,0,31,0,0,0,545,0,20669,363539,56855,North America,2021-05-13
217,Saint Pierre Miquelon,25,0,0,0,25,0,0,0,4333,0,5318,921664,5770,North America,2021-05-13
218,Solomon Islands,20,0,0,0,20,0,0,0,29,0,4500,6417,701303,Australia/Oceania,2021-05-13
219,Marshall Islands,4,0,0,0,4,0,0,0,67,0,0,0,59534,Australia/Oceania,2021-05-13
220,Saint Helena,2,0,0,0,2,0,0,0,328,0,0,0,6093,Africa,2021-05-13
221,Micronesia,1,0,0,0,1,0,0,0,9,0,0,0,116060,Australia/Oceania,2021-05-13
0,USA,33629571,3474,598583,43,26668149,950,6362839,8611,101087,1799,462833291,1391226,332680263,North America,2021-05-14
1,India,24320668,274548,265041,2691,20351524,278157,3704103,8944,17475,190,311324100,223698,1391716282,Asia,2021-05-14
2,Brazil,15436827,0,430596,0,13979329,0,1026902,8318,72180,2013,46970130,219625,213864852,South America,2021-05-14
3,France,5841129,0,107250,0,4999079,0,734800,4442,89316,1640,80214807,1226555,65398484,Europe,2021-05-14
4,Turkey,5083996,0,44059,0,4856763,0,183174,2765,59726,518,50259943,590444,85122228,Asia,2021-05-14
5,Russia,4922901,9462,115116,393,4537634,9756,270151,2300,33721,789,132700000,908975,145988633,Europe,2021-05-14
6,UK,4446824,2193,127668,17,4260169,1871,58987,129,65208,1872,169007195,2478319,68194286,Europe,2021-05-14
7,Italy,4146722,7567,123927,182,3683189,13782,339606,1860,68672,2052,62405408,1033462,60384820,Europe,2021-05-14
8,Spain,3598452,0,79281,0,3297340,0,221831,1931,76939,1695,47213067,1009463,46770455,Europe,2021-05-14
9,Germany,3578313,2669,86398,122,3259000,18700,232915,4376,42591,1028,58093759,691463,84015677,Europe,2021-05-14
10,Argentina,3242103,0,69254,0,2891435,0,281414,5420,71171,1520,12142248,266547,45553852,South America,2021-05-14
11,Colombia,3067879,0,79760,0,2874656,0,113463,6582,59743,1553,15711926,305972,51350926,South America,2021-05-14
12,Poland,2849014,3288,71311,289,2589277,4526,188426,1690,75349,1886,15078062,398778,37810712,Europe,2021-05-14
13,Iran,2732152,10145,76433,202,2196197,16307,459522,5468,32173,900,17750149,209022,84920057,Asia,2021-05-14
14,Mexico,2375115,3632,219901,311,1895483,2247,259731,4798,18256,1690,6811363,52354,130101834,North America,2021-05-14
15,Ukraine,2143448,7562,47620,287,1832601,15958,263227,177,49268,1095,9790291,225034,43505911,Europe,2021-05-14
16,Peru,1873316,0,65316,0,1720665,0,87335,2681,56141,1957,11901521,356677,33367789,South America,2021-05-14
17,Indonesia,1734285,2633,47823,107,1592886,3807,93576,0,6283,173,15410887,55833,276019737,Asia,2021-05-14
18,Czechia,1651178,1218,29857,11,1588346,99,32975,319,153939,2784,21004062,1958207,10726173,Europe,2021-05-14
19,South Africa,1605252,0,55012,0,1520878,0,29362,546,26775,918,11010999,183659,59953584,Africa,2021-05-14
20,Netherlands,1589282,5515,17423,10,1351998,5372,219861,722,92574,1015,13171698,767238,17167676,Europe,2021-05-14
21,Canada,1314778,2364,24851,26,1215616,3502,74311,1327,34574,653,33130218,871208,38027907,North America,2021-05-14
22,Chile,1273516,6915,27647,127,1208396,4220,37473,2976,66130,1436,13816198,717430,19257906,South America,2021-05-14
23,Iraq,1132092,0,15883,0,1028627,0,87582,471,27613,387,9817969,239473,40998203,Asia,2021-05-14
24,Philippines,1131467,6784,18958,137,1053523,2972,58986,1819,10208,171,12529921,113047,110838623,Asia,2021-05-14
25,Romania,1070605,835,29413,105,1022029,1835,19163,809,55975,1538,8626765,451040,19126382,Europe,2021-05-14
26,Sweden,1037126,0,14275,36,878189,7117,144662,341,102143,1406,8798383,866521,10153687,Europe,2021-05-14
27,Belgium,1026473,2890,24645,15,905973,8069,95855,657,88236,2118,13182705,1133193,11633238,Europe,2021-05-14
28,Pakistan,873220,2517,19384,48,780438,4123,73398,4330,3888,86,12380676,55128,224582574,Asia,2021-05-14
29,Portugal,840929,0,16999,0,801961,0,21969,70,82680,1671,11052822,1086705,10170947,Europe,2021-05-14
30,Israel,839076,17,6379,0,831922,34,775,68,91228,694,14487253,1575114,9197590,Asia,2021-05-14
31,Hungary,796390,1190,29041,71,608891,8430,158458,338,82621,3013,5607336,581728,9639099,Europe,2021-05-14
32,Bangladesh,779535,848,12102,26,720471,852,46962,1149,4693,73,5698528,34307,166105663,Asia,2021-05-14
33,Jordan,723069,315,9224,21,710445,35,3400,729,70265,896,6912958,671776,10290568,Asia,2021-05-14
34,Serbia,705185,787,6646,17,673038,1677,25501,101,80992,763,3989567,458209,8706867,Europe,2021-05-14
35,Switzerland,679510,2300,10729,1,617283,2412,51498,179,78021,1232,7273942,835192,8709301,Europe,2021-05-14
36,Japan,665547,6874,11255,90,579446,5533,74846,1209,5276,89,12913954,102377,126140961,Asia,2021-05-14
37,Austria,635780,887,10455,11,612523,1269,12802,322,70246,1155,35939913,3970903,9050816,Europe,2021-05-14
38,UAE,542158,0,1623,0,522356,0,18179,0,54251,162,46613437,4664386,9993478,Asia,2021-05-14
39,Lebanon,534968,0,7569,0,492270,0,35129,333,78684,1113,4163257,612338,6798949,Asia,2021-05-14
40,Morocco,514670,0,9091,0,502205,0,3374,96,13803,244,6367171,170757,37287963,Africa,2021-05-14
41,Malaysia,462190,4113,1822,34,418897,4190,41471,482,14124,56,10397529,317738,32723609,Asia,2021-05-14
42,Nepal,439658,8467,4669,203,327653,6135,107336,0,14859,158,2733510,92386,29587919,Asia,2021-05-14
43,Saudi Arabia,430505,0,7122,0,414139,0,9244,1344,12202,202,17812376,504872,35280979,Asia,2021-05-14
44,Bulgaria,413320,0,17194,0,360002,0,36124,516,59875,2491,2642503,382801,6903067,Europe,2021-05-14
45,Ecuador,405783,0,19442,0,342878,0,43463,594,22703,1088,1355202,75820,17873899,South America,2021-05-14
46,Slovakia,387162,294,12168,33,370076,428,4918,214,70884,2228,2752948,504025,5461931,Europe,2021-05-14
47,Greece,373881,2169,11322,56,335156,1264,27403,677,36023,1091,8772810,845253,10378916,Europe,2021-05-14
48,Belarus,373351,1109,2681,10,363873,1067,6797,0,39522,284,6050830,640528,9446632,Europe,2021-05-14
49,Panama,369455,0,6288,0,358358,0,4809,105,84480,1438,2497125,570996,4373282,North America,2021-05-14
50,Kazakhstan,353140,2549,4017,33,310168,2704,38955,221,18615,212,10691113,563567,18970446,Asia,2021-05-14
51,Croatia,349084,926,7664,41,334206,1537,7214,207,85490,1877,1912994,468491,4083312,Europe,2021-05-14
52,Azerbaijan,328994,326,4754,12,312460,1262,11780,0,32197,465,3368394,329650,10218087,Asia,2021-05-14
53,Georgia,327831,1390,4397,18,307334,1070,16100,0,82317,1104,4511631,1132854,3982534,Asia,2021-05-14
54,Bolivia,327224,2356,13409,64,267973,1461,45842,158,27707,1135,1287762,109037,11810296,South America,2021-05-14
55,Tunisia,324823,0,11693,0,284754,0,28376,445,27238,981,1378729,115613,11925349,Africa,2021-05-14
56,Paraguay,307457,0,7427,0,254360,0,45670,592,42654,1030,1176104,163164,7208106,South America,2021-05-14
57,Palestine,303270,0,3401,0,288891,0,10978,78,58284,654,1784690,342992,5203302,Asia,2021-05-14
58,Kuwait,290006,763,1681,7,275745,1191,12580,190,67053,389,2446116,565576,4324999,Asia,2021-05-14
59,Costa Rica,279926,0,3514,0,219105,0,57307,482,54521,684,1083035,210942,5134282,North America,2021-05-14
60,Dominican Republic,274319,0,3560,0,232625,0,38134,242,25071,325,1461677,133586,10941808,North America,2021-05-14
61,Ethiopia,264960,0,3951,0,215734,0,45275,653,2257,34,2640295,22488,117408852,Africa,2021-05-14
62,Denmark,264465,951,2499,0,249487,804,12479,33,45520,430,45701715,7866255,5809844,Europe,2021-05-14
63,Lithuania,263475,1125,4084,12,237431,989,21960,158,97972,1519,3074012,1143060,2689283,Europe,2021-05-14
64,Ireland,254870,420,4941,4,237168,421,12761,39,51124,991,4729538,948682,4985377,Europe,2021-05-14
65,Moldova,253567,181,6006,11,244487,189,3074,160,62985,1492,1040432,258438,4025841,Europe,2021-05-14
66,Slovenia,248520,471,4314,6,236049,943,8157,125,119528,2075,1224095,588738,2079185,Europe,2021-05-14
